DATA,DEMANDA
01/01/1992,20532164
01/02/1992,21792493
01/03/1992,23948450
01/04/1992,23446770
01/05/1992,23991809
01/06/1992,25047740
01/07/1992,21152201
01/08/1992,23619857
01/09/1992,24832945
01/10/1992,24936111
01/11/1992,24195516
01/12/1992,23006548
01/01/1993,22753626
01/02/1993,24708166
01/03/1993,28108638
01/04/1993,25345295
01/05/1993,25601505
01/06/1993,27237955
01/07/1993,22163384
01/08/1993,25479252
01/09/1993,27415936
01/10/1993,26715338
01/11/1993,26824584
01/12/1993,25349649
01/01/1994,24204525
01/02/1994,25020237
01/03/1994,29516498
01/04/1994,28718139
01/05/1994,30074343
01/06/1994,30895703
01/07/1994,25741016
01/08/1994,30862995
01/09/1994,31607222
01/10/1994,30973150
01/11/1994,32335420
01/12/1994,30134276
01/01/1995,30526294
01/02/1995,30939777
01/03/1995,35015538
01/04/1995,31927307
01/05/1995,34622341
01/06/1995,33883034
01/07/1995,28783397
01/08/1995,33266183
01/09/1995,33645951
01/10/1995,33514217
01/11/1995,33281304
01/12/1995,30440472
01/01/1996,31898942
01/02/1996,31680805
01/03/1996,32581091
01/04/1996,32592874
01/05/1996,36144469
01/06/1996,34422838
01/07/1996,31306837
01/08/1996,33876402
01/09/1996,34750537
01/10/1996,34834901
01/11/1996,34386166
01/12/1996,32300946
01/01/1997,34955688
01/02/1997,33141988
01/03/1997,35674744
01/04/1997,38268463
01/05/1997,38515847
01/06/1997,36070957
01/07/1997,34361454
01/08/1997,35823108
01/09/1997,38511120
01/10/1997,39526639
01/11/1997,37500923
01/12/1997,34368283
01/01/1998,34633713
01/02/1998,34544458
01/03/1998,38530737
01/04/1998,37178540
01/05/1998,37714881
01/06/1998,37450820
01/07/1998,32464305
01/08/1998,36970578
01/09/1998,39214254
01/10/1998,40629220
01/11/1998,38326106
01/12/1998,34926963
01/01/1999,37271189
01/02/1999,39860217
01/03/1999,44451759
01/04/1999,41007384
01/05/1999,42087595
01/06/1999,44153491
01/07/1999,38772351
01/08/1999,44643074
01/09/1999,47123949
01/10/1999,45835110
01/11/1999,46254914
01/12/1999,44400373
01/01/2000,42549540
01/02/2000,43605830
01/03/2000,50201621
01/04/2000,43241080
01/05/2000,49521575
01/06/2000,50193554
01/07/2000,43329552
01/08/2000,48754127
01/09/2000,47710934
01/10/2000,51138646
01/11/2000,49702202
01/12/2000,43839344
01/01/2001,43118032
01/02/2001,44451324
01/03/2001,47756334
01/04/2001,45453622
01/05/2001,51317993
01/06/2001,47156184
01/07/2001,41509040
01/08/2001,47124285
01/09/2001,44177016
01/10/2001,44898793
01/11/2001,45002172
01/12/2001,38460688
01/01/2002,41179280
01/02/2002,42337576
01/03/2002,45950271
01/04/2002,48871364
01/05/2002,50367897
01/06/2002,47465698
01/07/2002,42752500
01/08/2002,49612947
01/09/2002,47856907
01/10/2002,50022686
01/11/2002,47762637
01/12/2002,41740569
01/01/2003,42048217
01/02/2003,43808382
01/03/2003,48384735
01/04/2003,45809452
01/05/2003,48420578
01/06/2003,46872020
01/07/2003,43628546
01/08/2003,45343510
01/09/2003,50520503
01/10/2003,49190270
01/11/2003,46812131
01/12/2003,44112005
01/01/2004,42813550
01/02/2004,42893266
01/03/2004,50296845
01/04/2004,48905272
01/05/2004,49938139
01/06/2004,51621207
01/07/2004,45213725
01/08/2004,49694099
01/09/2004,50622893
01/10/2004,49374315
01/11/2004,48458619
01/12/2004,44777207
01/01/2005,47930318
01/02/2005,45788927
01/03/2005,51430869
01/04/2005,50241180
01/05/2005,51423835
01/06/2005,51940755
01/07/2005,43883605
01/08/2005,52267506
01/09/2005,51360640
01/10/2005,51731892
01/11/2005,50410466
01/12/2005,46002480
01/01/2006,47129227
01/02/2006,45916244
01/03/2006,53427675
01/04/2006,46685613
01/05/2006,52004349
01/06/2006,52230301
01/07/2006,45711368
01/08/2006,51153056
01/09/2006,49153206
01/10/2006,49187919
01/11/2006,49967637
01/12/2006,46589835
01/01/2007,52319644
01/02/2007,48754808
01/03/2007,54207825
01/04/2007,51523760
01/05/2007,55324244
01/06/2007,52559233
01/07/2007,48455155
01/08/2007,51587067
01/09/2007,47905476
01/10/2007,50834175
01/11/2007,52604610
01/12/2007,45614639
01/01/2008,46021896
01/02/2008,46672605
01/03/2008,51541833
01/04/2008,49858528
01/05/2008,54778147
01/06/2008,54901438
01/07/2008,52132430
01/08/2008,52988046
01/09/2008,51616440
01/10/2008,56084587
01/11/2008,46333620
01/12/2008,39146376
01/01/2009,35172806
01/02/2009,37499304
01/03/2009,41584898
01/04/2009,36619703
01/05/2009,36026163
01/06/2009,42956573
01/07/2009,38651709
01/08/2009,38475834
01/09/2009,40925627
01/10/2009,41633899
01/11/2009,40680522
01/12/2009,41418811
01/01/2010,38939278
01/02/2010,40107830
01/03/2010,45957367
01/04/2010,44010415
01/05/2010,46469022
01/06/2010,48198081
01/07/2010,41357022
01/08/2010,46247519
01/09/2010,44428942
01/10/2010,45608851
01/11/2010,45348174
01/12/2010,43076998
01/01/2011,43421056
01/02/2011,42519530
01/03/2011,55070043
01/04/2011,45624058
01/05/2011,47817361
01/06/2011,50401447
01/07/2011,45050447
01/08/2011,49682682
01/09/2011,52005707
01/10/2011,49670571
01/11/2011,51176092
01/12/2011,46150672
01/01/2012,45768245
01/02/2012,46449013
01/03/2012,52946785
01/04/2012,48014360
01/05/2012,52820756
01/06/2012,52438495
01/07/2012,44749385
01/08/2012,49625590
01/09/2012,47851301
01/10/2012,50688167
01/11/2012,52495999
01/12/2012,46232181
01/01/2013,49709149
01/02/2013,45810193
01/03/2013,49084010
01/04/2013,48802887
01/05/2013,52072541
01/06/2013,51728263
01/07/2013,47147729
01/08/2013,50494931
01/09/2013,47916229
01/10/2013,52737302
01/11/2013,50736401
01/12/2013,49730388
01/01/2014,50223832
01/02/2014,58638135
01/03/2014,51742435
01/04/2014,50402645
01/05/2014,53408011
01/06/2014,53547099
01/07/2014,51833190
01/08/2014,51118500
01/09/2014,55401855
01/10/2014,55466955
01/11/2014,51062356
01/12/2014,50398109
01/01/2015,55530315
01/02/2015,43553985
01/03/2015,53463860
01/04/2015,47095783
01/05/2015,49989933
01/06/2015,52437051
01/07/2015,53282908
01/08/2015,51447959
01/09/2015,51410782
01/10/2015,50471117
01/11/2015,50784037
01/12/2015,47424625
01/01/2016,49201410
01/02/2016,45618258
01/03/2016,49498072
01/04/2016,49845743
01/05/2016,52468034
01/06/2016,55709285
01/07/2016,47192272
01/08/2016,52024361
01/09/2016,52779001
01/10/2016,52319387
01/11/2016,53434595
01/12/2016,49203894
01/01/2017,50535566
01/02/2017,49704595
01/03/2017,58415459
01/04/2017,53159360
01/05/2017,57504395
01/06/2017,55431993
01/07/2017,48290440
01/08/2017,56143016
01/09/2017,53542691
01/10/2017,57093952
01/11/2017,57109294
01/12/2017,51234741
01/01/2018,51821060
01/02/2018,54200209
01/03/2018,59279468
01/04/2018,56537131
01/05/2018,64023115
01/06/2018,61362514
01/07/2018,56179129
01/08/2018,60602400
01/09/2018,57473426
01/10/2018,61780933
01/11/2018,59033483
01/12/2018,59638632
01/01/2019,53278230
01/02/2019,51645993
01/03/2019,59547291
01/04/2019,57794693
01/05/2019,64147338
01/06/2019,57635469
01/07/2019,53335962
01/08/2019,59467466
01/09/2019,59064065
01/10/2019,58291197
01/11/2019,56824053
01/12/2019,53034901
01/01/2020,53401982
01/02/2020,54305635
01/03/2020,52658085
01/04/2020,34216607
01/05/2020,39387132
01/06/2020,50159017
